24054|1691.90
24055|1547.45
24056|1618.69
24057|1635.39
24058|1704.98
24059|1679.78
24060|1542.17
24061|1482.80
24062|1733.03
24063|1482.95
24064|1446.00
24065|1678.40
24066|1697.51
24067|1644.31
24068|1769.05
24069|1664.53
24070|1694.60
24071|1862.68
24072|1601.61
24073|1463.75
24074|1564.05
24076|1671.46
24077|1728.64
24078|1743.12
24079|1716.73
24080|1679.64
24081|1773.82
24082|1757.63
24083|1583.66
24084|1608.70
24085|1791.82
24086|1616.18
24087|1609.53
24088|1611.14
24089|1651.84
24090|1624.14
24091|1799.23
24092|1714.95
24093|1619.61
24094|1644.56
24095|1601.84
24096|1630.91
24097|1590.30
24098|1563.22
24099|1680.29
24100|1682.55
24101|1842.31
24103|1776.97
24104|1686.27
24105|1679.22
24106|1707.38
24107|1773.21
24108|1687.81
24109|1742.51
24110|1685.09
