24054|1654.35
24055|1566.28
24056|1646.16
24057|1581.63
24058|1698.08
24059|1654.07
24060|1499.66
24061|1457.75
24062|1700.28
24063|1484.89
24064|1416.70
24065|1674.38
24066|1666.81
24067|1652.76
24068|1707.37
24069|1636.64
24070|1706.01
24071|1778.38
24072|1669.52
24073|1502.90
24074|1468.82
24075|1479.27
24076|1541.28
24077|1749.26
24078|1732.69
24079|1634.16
24080|1691.04
24081|1755.14
24082|1624.62
24083|1703.40
24084|1591.86
24085|1675.28
24086|1722.17
24087|1573.91
24088|1616.67
24089|1536.94
24090|1563.80
24091|1651.90
24092|1789.55
24093|1611.63
24094|1625.04
24095|1538.14
24096|1577.92
24097|1575.87
24098|1658.48
24099|1607.12
24100|1667.81
24101|1864.14
24103|1751.94
24104|1691.76
24105|1676.52
24106|1686.07
24107|1699.59
24108|1698.07
24109|1731.37
24110|1630.89
